criteria.offerCode;criteria.productId;depositId;review.irregularities;review.downgradedReason
3055;G3;0491268620230609000027;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230612002780;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230612002779;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004718420230526000371;3055_G4_ANO_DELAI_ANNONCE, 3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230614002795;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230614002799;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230615002801;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230615002806;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230616002808;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0014140120230616000086;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230616002810;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230616002812;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230619002820;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0004909320230619001532;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230620002825;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230620002826;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230621002837;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0004909320230621001540;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230621002832;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230621002835;3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230622002841;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230622001542;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230622002840;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230622002844;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230623002847;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230626002858;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230626002854;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230627002864;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0004909320230627001556;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230627002868;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230628002871;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0237102220230628002872;3055_G4_ANO_PLI_INTRUS_CE30, 3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G4;0003065820230629000501;3055_G4_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;G3;0237102220230629002881;3055_G3_ANO_PLI_INTRUS_CE30, 3055_G3_ANO_TX_CONTENANTS_ANOMALIE;AP
3055;K5;0237102220230630002892;3055_K5_ANO_TX_CONTENANTS_ANOMALIE;AP
